Frame#,Time (sec),r hfm (mm),r lm (mm),r le (mm),r gt (mm),r wrist (mm),r elbo(mm),r shoulder,l hfm (mm),l lm (mm),l le (mm),l gt (mm),l wrist (mm),l elbow (mm),l shoulder,r asis (mm),l asis (mm),forehead (mm),r foot,r shank,r thigh,l foot,l shank,l thigh ,r forearm,r upperarm,l forearm,l upperarm,pelvis,trunk,head&neck,r foot,r shank,r thigh,l foot,l shank,l thigh,r Forearm,r Upperarm,l Forearm,l Upperarm,pelvis,trunk,head&neck,Whole Body COM (mm)
13,0.21710,47.19248,73.75925,479.87031,878.68596,820.82632,1054.93110,1395.09957,47.83041,78.52494,475.91290,878.49072,821.99774,1060.00523,1400.16647,936.71679,934.23485,1599.50765,123.29800,421.03245,399.76811,120.23338,412.39670,402.96579,252.83008,341.00259,250.42296,340.16148,103.62225,468.10978,294.39350,167.55863,74.69087,86.03298,164.86319,74.12271,87.47424,112.19868,85.98056,108.12660,89.92035,33.29337,80.84254,56.59338,
14,0.23380,47.21107,73.75925,480.85809,878.71604,820.84404,1054.96033,1395.06204,47.81186,79.23029,475.93335,878.27493,821.94044,1060.00615,1400.16982,936.67031,934.29537,1599.42954,123.26658,422.16972,398.86746,120.56797,412.54615,402.72974,252.86308,340.93314,250.43889,340.16396,103.64261,468.04871,294.23729,167.56425,74.63482,85.91159,164.90052,74.06375,87.47291,112.21011,85.98659,108.09489,89.91396,33.35205,80.87044,56.54691,
15,0.25050,47.23802,73.75925,481.36870,878.74812,820.90736,1054.97367,1395.07868,47.82667,79.22328,475.94486,878.06881,821.87016,1060.08610,1400.15225,936.65626,934.24460,1599.31479,123.30807,422.90488,398.45016,120.30176,412.47738,402.50543,252.90904,340.94368,250.54714,340.06646,103.65628,468.04951,294.00536,167.58133,74.53370,85.78752,164.88020,74.10987,87.49394,112.26551,85.96927,108.05999,89.91015,33.38321,80.89453,56.50423,
16,0.26720,47.25107,74.03269,481.32345,878.74720,821.00586,1054.87181,1395.08367,47.91104,79.20992,475.92254,878.00274,821.81974,1060.10327,1400.09831,936.73576,933.88436,1599.24407,123.24975,422.83374,398.55938,119.49564,413.09976,402.45144,252.78260,341.05941,250.59292,339.99550,103.58344,468.12920,293.93094,167.45140,74.40705,85.66263,165.25179,74.23905,87.52749,112.31533,85.94871,108.04223,89.89448,33.33898,80.92338,56.49127,
17,0.28390,47.27680,74.30612,481.25256,878.73114,820.97517,1054.74269,1395.02923,47.95965,78.33511,475.91713,877.99263,821.80468,1060.00463,1400.01959,936.79480,933.60389,1599.16385,123.16491,422.69418,398.66975,120.37204,412.43765,402.43803,252.70243,341.14376,250.53977,340.01556,103.54531,468.14191,293.97320,167.32454,74.30151,85.55867,164.96800,74.12882,87.55650,112.32982,85.92624,108.06661,89.88039,33.28822,80.94794,56.46984,
18,0.30060,47.35233,74.28508,481.26788,878.74807,820.86355,1054.68486,1394.97567,47.92427,79.18311,475.93569,877.96422,821.67284,1059.64285,1399.94992,936.79335,933.81268,1599.09952,123.16511,422.89468,398.70510,120.72149,412.48011,402.38020,252.76988,341.17110,250.28427,340.30743,103.69142,467.95116,294.01998,167.37060,74.22322,85.49655,164.98810,74.11020,87.59306,112.33495,85.87207,108.05703,89.90421,33.30752,80.96596,56.43410,
19,0.31730,47.39512,74.26437,481.26034,878.77175,820.79245,1054.68155,1394.95060,47.87613,79.19748,475.93378,877.86864,821.30669,1059.35256,1399.83347,936.82060,934.04559,1599.03820,123.14175,423.05291,398.75810,120.33878,412.39462,402.27593,252.85652,341.17406,250.25513,340.48104,103.87610,467.71471,294.05132,167.39844,74.15404,85.45709,164.95986,74.19690,87.62908,112.34232,85.81469,107.98035,89.93904,33.35017,80.99152,56.39111,
20,0.33400,47.35568,74.26503,481.17414,878.76062,820.69851,1054.66298,1394.93606,47.85470,79.10748,475.92706,877.77284,821.06897,1059.31860,1399.58087,936.87795,934.10008,1598.90152,123.09002,423.11291,398.85572,119.33663,413.07927,402.17903,252.89950,341.20367,250.43340,340.26238,104.02612,467.48076,294.17179,167.37393,74.08246,85.41681,165.29795,74.34878,87.65600,112.32108,85.75627,107.95499,89.94205,33.36791,81.02415,56.35714,
21,0.35070,47.29394,74.27678,481.08779,878.74747,820.55942,1054.61907,1394.96550,47.86422,78.14529,475.93641,877.78370,821.03138,1059.19743,1399.32961,936.92938,934.07159,1598.80808,123.02615,423.16659,398.95382,120.14568,412.33141,402.17375,252.85212,341.31086,250.37963,340.13230,104.12810,467.30748,294.22222,167.33219,74.00868,85.37272,164.93481,74.23511,87.67988,112.23797,85.68064,107.97905,89.94076,33.33927,81.06261,56.34882,
22,0.36740,47.28735,74.26717,481.05297,878.75418,820.45674,1054.55427,1395.01089,47.89062,79.09617,475.93843,877.79478,821.01691,1059.08502,1399.23761,936.87051,933.97770,1598.77289,122.99289,423.27104,399.00455,120.62261,412.37601,402.17988,252.73609,341.45733,250.29871,340.15275,104.19152,467.30571,294.14335,167.33015,73.94704,85.35665,164.97684,74.18105,87.69031,112.15076,85.60128,107.99460,89.93352,33.26024,81.10603,56.32737,
23,0.38410,47.36561,74.23471,481.03595,878.82030,820.21856,1054.54523,1395.04240,47.90677,79.16110,475.90542,877.78046,821.04616,1059.09089,1399.14474,936.76944,933.94895,1598.74131,123.04252,423.36917,399.07629,120.73553,412.38602,402.19886,252.86293,341.54086,250.27753,340.05413,104.25406,467.27480,294.12283,167.38818,73.90847,85.37738,165.00838,74.16889,87.68935,112.08354,85.50857,107.99700,89.91399,33.17805,81.15760,56.30266,
24,0.40080,47.37484,74.24432,481.01567,878.95404,819.87969,1054.58169,1395.03235,47.87410,79.14231,475.88205,877.47685,821.00340,1059.14541,1399.06010,936.46018,933.98700,1598.68068,123.11219,423.41504,399.22676,120.70210,412.44672,401.91615,253.10925,341.54576,250.35828,339.91515,104.30486,467.27967,294.14258,167.39525,73.87238,85.38457,165.00891,74.14884,87.69732,111.99480,85.39952,107.98181,89.89393,33.12657,81.22448,56.28540,
25,0.41750,47.26908,74.26601,480.99409,879.07324,819.59807,1054.60595,1395.01216,47.85490,79.09993,475.82165,877.14701,820.92803,1059.07217,1399.00411,936.20374,934.00023,1598.57928,123.02124,423.44818,399.36759,120.27706,412.43526,401.64101,253.18718,341.54958,250.32433,339.93265,104.38925,467.27571,294.00184,167.32495,73.83581,85.38530,164.99271,74.17274,87.71691,111.85317,85.29943,107.95627,89.87079,33.08567,81.29511,56.26506,
26,0.43420,47.57489,74.24596,480.98553,879.10496,819.21344,1054.65249,1395.01916,47.90703,79.00361,475.74559,877.16183,820.89120,1059.01709,1398.93342,936.19356,933.93683,1598.53857,122.66040,423.52625,399.39604,119.40102,413.16266,401.72766,253.27968,341.55120,250.24702,339.91729,104.44533,467.18905,293.86564,167.44301,73.80497,85.40664,165.38144,74.26563,87.73244,111.64229,85.21576,107.91514,89.85219,33.02633,81.36892,56.25808,
27,0.45090,47.98938,74.23668,481.01200,879.09609,818.82053,1054.64099,1395.02104,47.89666,78.04563,475.80492,876.84366,820.88820,1059.11671,1398.79991,936.16841,933.86787,1598.55447,122.38751,423.64607,399.34609,119.96772,412.50245,401.34898,253.30880,341.61528,250.30974,339.68475,104.55421,467.06074,293.88688,167.61772,73.76654,85.43267,164.99475,74.15293,87.73564,111.42387,85.11511,107.88315,89.81559,33.06367,81.45784,56.27099,
