Frame#,Time (sec),r hfm (mm),r lm (mm),r le (mm),r gt (mm),r wrist (mm),r elbo(mm),r shoulder,l hfm (mm),l lm (mm),l le (mm),l gt (mm),l wrist (mm),l elbow (mm),l shoulder,r asis (mm),l asis (mm),forehead (mm),r foot,r shank,r thigh,l foot,l shank,l thigh ,r forearm,r upperarm,l forearm,l upperarm,pelvis,trunk,head&neck,r foot,r shank,r thigh,l foot,l shank,l thigh,r Forearm,r Upperarm,l Forearm,l Upperarm,pelvis,trunk,head&neck,Whole Body COM (mm)
58,0.96860,48.42382,71.41342,465.14221,861.12584,802.50769,1039.33237,1380.64172,51.57742,114.68420,472.98804,875.75798,815.70835,1059.11760,1393.71511,919.68893,926.86725,1585.53948,119.18456,423.20124,396.11531,116.63087,414.22253,415.54106,254.12171,342.99275,251.02700,336.35092,102.71234,465.46444,292.95823,168.87990,68.48186,88.51113,143.04226,57.99267,75.74842,111.27058,84.31013,104.16110,84.13619,32.26388,85.29054,54.96527,
59,0.98530,48.34033,72.04957,464.47552,860.13608,802.13142,1038.17180,1379.46404,54.45087,121.70670,474.51027,875.51132,815.10994,1058.81036,1393.21359,918.51932,926.46487,1584.73919,119.38586,422.56583,395.73528,114.64863,414.87208,417.11317,254.04210,342.92251,251.10467,336.37525,102.15929,465.26794,292.79981,168.54677,68.22023,88.87501,140.90398,56.94462,74.01341,111.70788,84.39997,103.95824,83.78197,32.34846,85.50943,54.94985,
60,1.00200,48.27507,72.73194,463.99299,860.11722,802.16783,1037.26372,1378.49598,57.71886,126.75868,476.02295,875.54005,814.70986,1058.04653,1392.71894,917.70999,926.05221,1584.09225,119.79768,422.04499,396.16334,111.47594,414.90625,418.54586,253.97016,342.84994,250.68711,336.94429,101.51675,465.03428,292.67755,168.22170,67.97226,89.18328,139.80999,56.58629,72.64732,112.23719,84.42100,103.91884,83.33194,32.16688,85.69068,54.93535,
61,1.01870,48.53298,71.29799,463.09818,859.39686,801.97087,1036.32258,1377.47116,59.76990,129.66477,477.72560,876.00844,814.10309,1056.60590,1392.18999,917.02220,925.97900,1583.53825,119.27506,422.92078,396.31137,108.61693,415.27450,419.67129,254.14150,342.76772,250.13101,338.35612,101.00670,464.55102,292.81818,168.99837,67.87391,89.53007,139.95095,56.93714,71.61964,112.76911,84.41782,104.19632,82.65013,32.17832,85.83376,54.91062,
62,1.03540,48.53584,69.92868,462.57437,858.25746,801.71810,1035.41913,1376.53722,60.79446,129.66627,479.33515,876.34311,813.61755,1056.63928,1391.54241,916.11445,926.50104,1583.19038,118.72459,424.21616,395.68964,105.90841,415.86237,420.46551,254.34767,342.75369,250.55473,338.04978,101.50699,463.88943,292.92802,169.62059,67.74709,89.65851,141.08987,57.82157,70.76195,113.25373,84.38946,104.09509,82.16570,32.14035,85.94072,54.88814,
63,1.05210,48.23868,71.71614,462.44341,857.23272,801.93655,1034.74836,1375.93336,61.39117,127.32285,481.05890,876.95633,813.61716,1055.98198,1390.96647,915.48356,927.22448,1582.74483,119.61414,423.34925,394.79080,102.21205,416.48381,421.24702,254.35286,342.85072,249.85526,338.52317,102.31489,463.21429,293.13139,168.68215,67.35147,89.83122,142.73269,59.19906,70.01269,113.75875,84.33889,104.07479,81.69772,32.02284,86.00657,54.82526,
64,1.06880,47.97578,73.47932,461.91392,855.52455,802.50221,1034.43310,1375.59210,61.11663,123.29095,482.82468,878.69092,813.82182,1056.20052,1390.82404,915.12179,927.65934,1582.25911,120.50802,422.03777,393.61120,97.72413,417.44218,422.80860,254.30345,342.85750,249.66439,338.50066,103.30625,462.90666,293.02562,167.78348,66.97283,89.89064,144.86056,61.09178,69.42655,114.22194,84.28358,103.88562,81.30927,31.69480,86.05769,54.70202,
65,1.08550,47.75912,73.82820,460.81391,855.12797,803.28053,1034.37031,1375.33081,60.40752,117.36990,484.17095,880.10287,814.02948,1056.48948,1390.86812,912.90699,926.90731,1581.80086,120.57059,421.45224,394.31497,94.22044,418.01675,424.14527,254.25108,342.70799,249.50963,338.59106,103.70942,464.24436,292.81430,167.51484,66.65853,89.86524,147.58876,63.23449,68.97531,114.65416,84.20056,103.66217,80.94225,30.27525,86.13083,54.59000,
66,1.10220,48.88655,74.30796,459.44143,854.68775,804.03538,1034.01685,1375.07110,59.55006,110.91479,486.19918,881.07136,813.96611,1056.64922,1390.71805,912.30324,928.43310,1581.38545,120.07603,420.85902,395.24894,92.13803,418.87456,424.26939,254.09249,342.86177,249.50785,338.60298,104.54996,463.53072,292.77396,167.77895,66.21317,89.78006,150.52550,65.54066,68.53703,115.17040,84.10322,103.44172,80.60257,30.13137,86.21647,54.52790,
67,1.11890,45.50461,74.54001,458.66257,853.78807,804.70196,1033.64982,1374.88536,58.48960,104.89066,487.02510,881.63684,813.69246,1056.67310,1390.50442,911.62289,928.64539,1581.02108,120.27547,421.20275,395.13589,90.61233,418.15195,424.78499,254.02434,343.08644,249.59536,338.69344,104.65003,463.49587,292.60372,166.03218,65.76993,89.57301,153.23902,68.00102,68.26569,115.68109,84.03492,103.23018,80.26956,30.05724,86.34864,54.49599,
68,1.13560,45.88459,75.47756,458.67203,853.07398,805.30222,1033.49359,1374.64997,56.81324,99.29447,488.31033,881.83976,813.35016,1056.80220,1390.18508,911.07134,928.86813,1580.73146,120.09933,421.73617,394.42996,90.27768,417.99132,424.43716,254.18050,343.03649,249.76644,338.57256,105.10655,463.30350,292.33294,165.73702,65.30574,89.30559,155.61591,70.57534,67.99051,116.14398,83.98765,102.92087,79.94489,29.97068,86.50594,54.53170,
69,1.15230,45.42922,76.58197,457.54797,852.53340,805.97365,1033.31919,1374.27294,54.94550,94.08905,489.42943,881.72055,813.13337,1056.65686,1389.51667,910.26180,929.30283,1580.52912,120.56450,421.24917,395.04337,91.46057,417.70470,423.87197,254.29368,342.87489,249.45753,338.34287,105.18044,462.86635,292.29465,165.02735,64.73046,89.00718,157.66938,73.12057,67.73424,116.62443,83.92104,102.53219,79.66066,30.03707,86.71827,54.65309,
70,1.16900,46.61744,76.31175,456.85329,851.97515,806.84025,1033.17842,1373.67797,54.15386,89.70028,490.40278,881.31968,812.87994,1056.49874,1389.04054,909.20288,929.54368,1580.22586,119.30148,422.36580,395.22408,93.01596,417.40054,423.12828,254.24938,342.48030,249.14673,338.24447,104.93566,462.63348,292.16803,165.58935,64.27835,88.68540,159.96040,75.63668,67.49031,117.10711,83.82397,102.10209,79.45375,30.15891,86.95700,54.78413,
71,1.18570,46.61806,79.40276,456.01214,851.78205,807.52938,1032.88988,1373.03456,54.57268,86.03155,491.48565,880.67758,812.56061,1056.65420,1389.00543,908.41494,929.57297,1579.74091,119.48589,420.52858,395.92321,94.66724,417.23209,422.06673,254.26151,342.20517,249.19167,338.19120,104.72710,462.57170,291.65154,164.07692,63.57246,88.39405,162.38511,78.08725,67.22780,117.59201,83.69846,101.61978,79.32649,30.24947,87.20544,54.86132,
72,1.20240,46.54350,79.56256,455.03902,851.13530,808.01459,1032.50555,1372.43695,55.30458,83.22424,492.58305,879.83469,812.25614,1056.75453,1388.86666,907.10924,929.50187,1579.17872,119.20264,421.26085,396.30875,96.74543,416.59825,420.89138,254.34504,342.10401,249.18815,338.04648,103.41686,462.79108,291.13088,163.92089,63.03089,88.11236,164.07527,80.36193,66.92837,118.04754,83.52848,101.14375,79.23812,30.71007,87.47634,54.92360,
73,1.21910,46.47501,82.30965,454.42858,851.26803,808.25455,1031.98644,1371.45653,55.78168,81.85240,493.75362,878.83147,811.62627,1056.83446,1388.53660,906.04216,929.52467,1578.68151,120.11024,420.39489,397.13460,98.87695,416.24449,419.49580,254.46338,341.78096,249.54717,337.70118,102.86666,462.58236,290.91348,162.64384,62.26378,87.77954,165.17264,82.47027,66.62014,118.45833,83.32271,100.71035,79.17397,30.83590,87.69930,55.03108,
74,1.23580,46.35651,85.52204,454.11307,850.66321,808.44265,1031.20109,1370.41108,56.26088,81.08824,495.24772,877.70836,811.08223,1056.52683,1387.96807,905.38312,928.91048,1577.93742,120.54765,419.32652,396.93355,100.62415,416.83718,417.57739,254.34029,341.66492,249.49712,337.49687,103.07414,462.35013,291.00273,161.04314,61.51486,87.47013,166.14922,84.45590,66.32578,118.86476,83.11668,100.35119,79.11962,30.91425,87.89933,55.11843,
75,1.25250,45.07336,87.75782,453.69201,849.94468,808.87024,1030.44268,1369.57575,56.95090,80.35277,496.61889,876.50581,810.63811,1055.86417,1387.20858,904.67090,927.95410,1576.96744,120.98035,419.00943,396.74155,102.28293,417.76595,415.52685,253.95526,341.72070,249.08456,337.49547,103.20387,462.33391,290.73930,159.34269,60.84025,87.14404,167.14269,86.30916,66.08798,119.25903,82.93374,100.10836,79.03404,30.95282,88.08836,55.15228,
76,1.26920,46.23187,89.61946,452.97177,849.76051,808.77533,1029.68256,1368.42089,57.62483,79.71418,497.03360,875.26425,809.78804,1055.32690,1386.57093,903.55823,927.26213,1575.90857,120.58336,418.95799,397.41027,104.28074,418.13053,414.00562,254.01667,341.46441,249.28785,337.51463,103.04804,462.29468,290.38739,158.91395,60.13585,86.78391,168.09502,88.06140,65.99747,119.58910,82.74453,99.95961,78.92810,30.88199,88.26586,55.17905,
77,1.28590,44.87839,92.71318,452.17145,849.46215,808.27026,1028.82075,1367.28476,58.23553,79.13957,497.48492,874.02415,808.53211,1054.42894,1385.68667,902.32339,925.93575,1574.76549,121.51901,417.77848,398.07238,106.13415,418.75173,412.16098,254.28030,341.34975,249.57116,337.65509,102.76754,462.53324,290.33398,156.82180,59.35428,86.39758,168.86431,89.77183,65.99535,119.85545,82.53387,99.85420,78.81885,30.64364,88.40296,55.22049,
78,1.30260,46.17345,96.10315,452.01863,848.94930,807.96614,1028.10371,1366.46927,59.69008,78.73618,497.86657,872.82593,807.21147,1053.03488,1384.45304,901.62501,924.20763,1573.84322,121.20917,417.08806,397.89948,106.60001,419.65646,410.26759,254.24793,341.39759,249.44001,337.91456,102.57404,462.70169,290.08075,155.67701,58.56859,85.98977,169.92144,88.52346,66.04687,120.02923,82.34752,99.77898,78.73678,30.47559,88.49658,55.27356,
79,1.31930,44.93387,101.36650,452.07884,848.59607,807.27942,1027.30865,1365.36219,62.48356,78.34730,497.26064,871.71006,806.14109,1051.93356,1383.28903,900.73631,923.20307,1572.84581,122.13544,414.77525,397.68290,109.01053,419.38200,409.26097,254.18740,341.20633,249.37117,337.90433,102.42500,462.49944,289.90981,152.48413,57.72320,85.60092,171.65006,87.37187,66.18869,120.05441,82.19443,99.72888,78.69112,30.38705,88.56116,55.30910,
80,1.33600,46.19732,106.59158,451.55891,848.27192,806.35420,1026.54074,1364.36489,65.22320,78.31596,496.68967,870.71697,804.88223,1051.10090,1382.04404,899.60918,922.43621,1571.85706,121.66954,412.43340,398.05493,110.69779,419.39342,408.19739,254.11710,341.11526,249.76916,337.50739,102.30487,462.31647,290.02608,150.24310,56.75657,85.28295,173.29721,86.34217,66.38102,119.95603,82.02395,99.68269,78.67114,30.23941,88.60538,55.34072,
81,1.35270,44.85463,107.66594,451.06109,847.99486,805.66385,1026.31136,1363.85924,66.72523,78.14540,496.04930,869.88711,803.34993,1049.75791,1380.75737,899.00112,921.03016,1571.23954,122.74334,415.54162,398.43506,112.99906,420.68409,407.13038,254.04156,340.99648,249.94789,337.49935,102.11716,462.42618,290.16105,149.22494,55.72140,85.01358,175.00821,85.67165,66.65949,119.71738,81.83388,99.66476,78.72680,30.00653,88.61161,55.37901,
82,1.36940,46.27240,109.37806,450.47837,847.78753,804.68546,1026.14620,1363.47520,67.55619,76.55889,494.77591,869.26092,801.87263,1047.99713,1379.90295,898.44613,919.43595,1570.59349,122.77793,418.56682,398.94130,115.53145,420.55664,406.65714,253.99420,340.91229,249.67067,338.26671,101.91423,462.88970,290.12265,149.07457,54.57281,84.80447,175.99602,85.30414,67.04731,119.32621,81.67487,99.67868,78.86093,29.64602,88.57094,55.38823,
83,1.38610,44.90905,114.35535,449.59814,847.19241,803.19653,1026.02133,1363.23704,67.25208,75.62431,492.98855,868.87885,800.46436,1046.48230,1379.16846,897.58048,918.51480,1569.90618,124.34558,418.62579,399.28436,119.85666,419.94163,406.87594,254.23956,340.91517,249.55660,338.90294,101.92980,463.30268,289.86194,146.05267,53.20133,84.71543,176.64713,85.62778,67.48608,118.79251,81.54098,99.67064,78.99847,29.37960,88.54235,55.39929,
84,1.40280,46.89848,120.05406,449.23808,846.21044,801.85591,1026.50857,1363.16510,64.30148,74.26283,491.09601,868.78136,799.29747,1045.35392,1378.26515,896.39277,917.98132,1569.25384,124.73210,419.48213,398.65280,122.74960,419.84896,407.46745,254.60775,340.46293,249.59298,338.97074,101.91718,463.67462,289.79324,144.09551,51.68985,84.72636,176.35928,86.34233,67.94922,118.08111,81.41383,99.66702,79.13987,29.17681,88.54799,55.40739,
85,1.41950,45.28262,124.91347,448.83507,845.37099,801.15063,1027.27276,1363.35919,58.99628,72.09705,489.56197,869.00887,798.22736,1044.19361,1377.49062,895.75439,917.30174,1568.70515,126.55851,421.82948,398.15109,125.53522,419.85594,407.97065,254.33476,340.01428,249.52063,339.10875,102.35829,464.03656,289.82520,141.01379,50.15891,84.82637,174.94107,87.61110,68.43901,117.25117,81.27210,99.69282,79.36680,28.81329,88.58249,55.40888,
86,1.43620,47.76628,128.18998,447.37466,844.35832,800.35611,1027.98966,1363.69846,52.83596,70.06745,488.18685,869.60184,796.86789,1042.71014,1376.70291,896.70759,917.21065,1568.55908,125.07980,425.28009,398.49509,126.47940,418.83135,408.59906,253.98628,339.82454,249.41898,339.46601,104.24551,463.37556,289.81781,139.99086,48.62984,84.99718,172.47552,89.14802,68.97342,116.33965,81.06315,99.72526,79.68706,28.64485,88.61059,55.49667,
87,1.45290,48.60342,136.74542,445.19183,843.49573,799.33135,1028.79280,1364.39544,48.15546,69.40056,487.04307,870.60072,795.25851,1041.00622,1375.92244,895.22687,917.69194,1568.95825,126.49992,424.52128,399.59837,124.01195,417.37670,409.26274,253.72438,339.92355,249.37342,339.97947,103.93127,463.85086,289.97271,135.83688,46.59396,85.37587,170.00751,89.58591,69.57615,115.26944,80.84425,99.79261,80.08890,28.38313,88.52496,55.63028,
88,1.46960,49.35271,145.47201,444.14967,843.95085,798.89594,1030.79067,1365.96505,45.78913,69.67667,486.62360,871.88726,793.87408,1039.52643,1375.53492,896.59750,917.81485,1570.18015,128.27032,427.20049,400.74278,121.95081,417.00949,409.33798,253.91334,339.76030,249.38699,340.58770,103.13815,463.71871,290.14085,131.47223,44.35318,86.06037,168.66563,88.47439,70.24279,114.04550,80.56514,99.93853,80.58352,28.54299,88.41482,55.76733,
89,1.48630,49.42183,156.52426,442.39673,844.76506,799.00755,1032.51933,1367.89527,44.61369,69.75972,486.61662,873.95618,793.30196,1039.00476,1375.75741,898.32269,920.88690,1571.73105,131.28597,427.95908,402.78050,126.67736,416.70532,409.73540,253.18626,340.24849,249.58674,340.78788,103.19539,462.42411,290.53658,125.34105,41.90670,87.39641,168.23430,87.08106,70.95953,112.74516,80.28142,100.13147,81.16357,29.13220,88.29261,55.89853,
90,1.50300,53.66174,167.80978,439.34807,844.88678,799.61587,1036.54879,1369.90840,44.95035,70.44777,486.25458,876.16078,793.82267,1039.70949,1376.74278,898.20821,923.40120,1572.93808,131.62576,427.38482,405.62044,126.76609,416.27561,410.59850,254.08212,338.57671,249.82729,340.40029,102.57610,462.76447,290.60330,119.87102,39.44072,88.83826,168.04723,85.58568,71.72340,111.18015,79.91839,100.20011,81.92404,29.34872,88.12947,55.88176,
91,1.51970,57.88139,178.93649,438.10324,844.46805,800.94910,1040.15005,1372.10123,44.66236,71.20763,485.49050,877.83852,794.90237,1040.57757,1377.98866,898.97947,925.48412,1573.73912,131.92658,429.63535,406.40468,126.02082,416.48357,411.24219,254.13695,337.55400,249.64887,340.04858,102.30678,463.11303,290.01967,113.43173,37.09641,89.18581,167.88577,84.22512,72.55528,109.75020,79.53594,100.24673,82.84850,29.94771,87.92656,55.70835,
92,1.53640,65.31414,189.65764,435.52108,845.72330,802.37033,1043.08409,1373.96270,44.59435,71.11264,484.66511,878.81298,795.62361,1041.11599,1378.89854,899.85342,926.66904,1574.02919,131.50808,430.32797,410.76243,125.73040,416.77701,411.21276,253.86988,336.96388,249.78745,339.84489,102.14540,463.50904,289.66980,109.00899,34.83918,86.99598,167.87591,82.97781,73.42631,108.53560,79.08434,100.65079,83.67381,29.94457,87.79504,55.51119,
93,1.55310,75.18007,203.85300,433.39241,845.69135,803.16910,1045.30122,1375.32804,44.54218,71.00483,484.12645,878.90201,795.89764,1041.45746,1379.40803,900.98394,926.60651,1574.01772,132.16019,427.05574,414.02665,125.88049,417.19753,410.10141,253.84938,336.65797,250.49849,339.59008,101.53484,463.90192,290.02612,103.20131,32.50891,84.75288,167.78605,81.80582,74.27712,107.48563,78.59905,101.40628,84.35667,30.47360,87.83026,55.31143,
94,1.56980,87.29568,216.51615,433.05067,845.35008,803.54508,1046.85012,1376.38811,44.33735,71.17721,483.32524,878.56422,796.15287,1040.72673,1379.50418,902.47922,927.32060,1574.23252,130.93742,425.63139,415.89883,126.03970,417.14645,408.84333,253.78642,336.69024,250.32368,340.03367,101.76995,463.38952,290.53284,99.29928,30.57579,82.44580,167.50528,80.73418,75.16815,106.53366,78.15902,102.31413,85.06242,31.34294,87.78307,55.15508,
95,1.58650,98.28737,227.69946,434.29267,847.08794,803.77036,1048.26672,1377.30776,44.09963,71.60948,481.82924,878.75505,796.77672,1039.76846,1379.40645,903.18503,928.01000,1574.52385,130.35429,424.77570,418.87854,126.07719,416.50794,408.81421,253.77446,336.62161,249.66447,340.55360,101.27099,463.12576,290.69011,96.90378,29.09773,80.21297,167.24801,79.76761,76.13871,105.55052,77.80743,103.28642,85.78647,31.33820,87.71007,55.01449,
96,1.60320,109.21501,237.65799,436.74365,846.94221,804.31367,1049.84601,1378.31078,44.03702,71.93237,480.74779,879.23057,797.76603,1039.77741,1379.36089,906.02863,928.67780,1574.65504,129.52905,424.23584,418.87449,125.80515,416.21944,408.77783,253.65330,336.35716,249.71947,340.22637,100.62690,461.85586,290.91532,97.43553,27.98398,78.30814,167.02542,78.91015,77.10383,104.54718,77.55355,104.28259,86.46597,32.63092,87.68505,54.79359,
97,1.61990,114.88988,243.22025,439.84365,847.49558,805.38598,1051.51174,1379.59618,44.02540,72.28623,480.12598,879.02545,798.83238,1040.13460,1379.51008,907.65937,929.60425,1575.03102,130.23525,424.83918,419.71026,125.56072,416.27255,407.77257,253.33794,336.29617,250.21528,339.79769,100.66552,461.30859,290.77718,99.82195,27.56555,76.22272,166.75894,78.09721,78.01539,103.71419,77.30231,105.34850,87.13218,33.36627,87.64073,54.52563,
98,1.63660,118.16037,244.59020,443.40220,849.07593,806.76284,1053.05893,1381.09057,44.00623,72.78856,478.94346,878.90078,800.41046,1040.50365,1379.93081,909.27534,930.28124,1575.41526,129.33553,425.01943,421.66671,125.34147,415.93355,407.96798,252.93666,336.70243,250.33114,339.67155,101.54729,461.13953,290.22813,102.17812,27.88612,74.15969,166.51598,77.25842,78.61689,103.16794,76.95894,106.45242,87.81501,33.32144,87.58084,54.19229,
99,1.65330,118.37921,241.61820,447.91112,851.52690,808.88767,1054.42658,1382.64662,43.90707,73.23634,477.57312,878.58660,802.65008,1041.18042,1380.57650,911.49519,930.32931,1575.68305,127.94623,426.14449,423.66074,125.03170,415.68534,408.11300,251.82553,337.47394,250.09024,339.51164,101.70222,461.13562,290.09187,105.59968,28.94921,72.29530,166.31734,76.42344,79.28702,102.83933,76.54147,107.49794,88.49359,33.30826,87.49605,53.82447,
100,1.67000,116.25810,235.18041,453.33475,854.33371,809.76327,1056.06184,1384.00679,43.81208,73.48635,476.49947,877.70501,804.83738,1042.06288,1381.23643,913.75449,930.16591,1575.80491,126.21969,427.50167,425.19041,124.73091,415.23860,407.41692,252.24038,337.81308,250.13546,339.21047,101.49053,461.12771,290.31435,109.58732,30.67987,70.57047,165.88121,75.62598,79.97199,102.47085,76.10725,108.49762,89.14318,33.44454,87.41180,53.48119,
101,1.68670,109.39357,225.97809,459.51419,856.69409,811.06978,1058.45150,1385.06443,43.90295,74.24193,475.44015,876.82910,807.08938,1042.91309,1381.95479,915.97513,929.50983,1575.67295,126.41803,428.92012,425.88515,124.19410,414.64312,406.77996,252.98520,337.09415,250.12940,339.04441,101.83634,461.28462,290.41025,112.75675,32.98449,68.83466,165.44159,74.88412,80.65111,102.09169,75.66503,109.48074,89.75907,33.34309,87.27446,53.14503,
102,1.70340,106.74516,214.30174,465.83705,858.44376,812.29791,1059.20273,1385.90792,43.99502,75.12520,474.31221,876.10097,809.60611,1043.88382,1382.67780,918.27320,928.93048,1575.79903,123.96152,429.92642,426.26789,123.45198,414.86031,406.37529,252.23996,337.66557,250.02377,338.80046,103.18295,461.29285,290.56735,119.81984,35.80301,67.06885,165.34686,74.13869,81.37306,101.81531,75.35199,110.45175,89.63396,33.08316,87.06164,52.87682,
103,1.72010,98.24005,200.59586,471.73978,859.66215,813.29539,1060.70875,1386.45348,43.87943,75.22824,473.31411,875.03750,811.99146,1044.46680,1383.26899,920.16665,929.53950,1576.02604,124.26050,429.99138,426.59055,123.02530,415.07355,405.51426,252.53012,337.26680,249.65908,338.84387,104.95715,460.67046,290.69857,124.54830,39.08785,65.40793,165.09396,73.39528,82.14887,101.56370,74.97061,111.39078,89.08983,33.21695,86.91601,52.68592,
104,1.73680,89.83530,184.85706,477.73974,860.10882,813.84273,1061.05397,1386.80593,43.74683,75.52982,472.80487,873.92453,814.21093,1044.99024,1383.81560,921.73846,930.45827,1575.97583,123.39407,430.39747,425.88853,122.43082,415.66854,404.20754,252.14985,337.75389,249.30379,338.92131,106.75147,459.89558,290.39844,129.64658,42.87666,63.86404,164.79295,72.72554,82.90257,101.36873,74.67036,112.23537,88.62510,33.59972,86.86533,52.51853,
105,1.75350,81.86368,168.55840,483.40123,864.53621,814.16322,1061.53314,1386.75715,43.48118,75.86547,472.26954,873.18630,816.05650,1045.81970,1384.07449,922.62486,923.48615,1575.62536,122.27426,430.22959,426.85044,123.44546,415.02552,403.37122,252.20473,337.68453,249.62817,338.41522,97.96421,462.85506,290.23031,134.85073,47.03157,63.23182,163.77172,71.80071,83.66526,101.24713,74.37706,113.02087,88.22429,33.58279,87.33930,52.38308,
106,1.77020,75.42754,153.05532,488.61240,863.99773,814.14735,1061.35994,1386.29732,43.22557,77.98423,470.72126,872.43942,817.59080,1046.04290,1383.99237,921.91247,924.42866,1575.11537,120.84875,428.94557,424.73865,123.63539,414.39578,403.55569,251.97882,337.73202,249.59157,338.18478,99.02983,462.46669,290.25446,140.03755,51.46346,62.09654,163.26910,71.02501,84.51928,101.17192,74.16894,113.75969,87.85110,33.69969,87.34444,52.27413,
107,1.78690,70.36619,137.83184,493.64527,865.52653,813.61007,1061.01001,1385.71457,43.19559,78.82184,469.17952,871.34245,818.98459,1046.19804,1383.39836,923.35181,924.70203,1574.26618,120.44444,429.15929,424.56343,123.71367,413.89231,403.45420,252.14547,337.78093,249.39940,337.50605,100.33299,461.02596,290.27900,145.93899,55.99853,61.14546,162.92530,70.28569,85.40366,101.14389,73.99575,114.35870,87.54970,33.64296,87.32955,52.14834,
108,1.80360,66.15227,122.98167,497.72249,865.66442,813.08246,1060.80192,1384.91453,43.16632,79.52475,468.54958,870.11845,819.82148,1046.38479,1382.71918,923.73828,924.45369,1573.20249,121.03416,430.38556,423.06822,123.66893,413.56088,402.39212,252.45683,337.45480,249.64297,336.70545,100.98421,460.20087,290.45522,151.99972,60.53335,60.41583,162.21182,69.58090,86.32313,101.12740,73.82509,114.83960,87.29854,33.81437,87.37156,52.03194,
109,1.82030,63.36726,110.10715,500.44262,864.57278,812.52756,1059.77039,1383.96032,43.02619,80.95179,467.68204,869.23583,820.19238,1045.85703,1382.30160,923.13427,922.01481,1572.32815,121.59064,430.39593,421.09755,123.64122,413.00304,401.99817,251.96896,337.69283,249.50473,336.89155,100.70216,461.00389,290.63405,157.39621,65.07494,59.84263,161.40908,68.86039,87.29442,101.12494,73.73315,115.25903,87.03694,33.55639,87.46400,51.95555,
110,1.83700,62.50777,99.18747,502.31919,863.82987,811.41918,1058.34905,1382.88721,42.77925,82.44907,466.58584,868.62412,820.49715,1045.47151,1381.50884,922.58247,921.12122,1570.98568,122.25138,430.09382,420.05762,123.79379,412.68015,402.21711,251.67657,338.15832,249.39696,336.55667,101.08873,460.76979,290.78893,162.54255,69.59576,59.37875,160.69285,68.08063,88.27995,101.15567,73.67356,115.57639,86.80534,33.38036,87.53161,51.83043,
111,1.85370,64.19544,90.25879,503.69802,863.88930,809.86042,1057.36365,1381.63584,42.50259,83.71456,466.11280,867.66370,820.47775,1045.46126,1380.59579,921.90503,920.09096,1569.26184,121.82735,429.62049,419.45255,123.61863,413.04309,401.58216,252.31618,337.99626,249.84181,335.69834,101.21061,460.52916,290.89591,167.64844,74.21522,59.16523,159.95332,67.35687,89.27345,101.21913,73.60707,115.78395,86.66764,33.06205,87.56685,51.64956,
112,1.87040,68.06865,84.97047,503.87972,863.26530,808.24843,1056.28410,1380.34925,42.26886,84.88254,465.46293,866.15774,819.89611,1044.73592,1379.69157,920.49917,918.85781,1567.85280,120.98575,427.03011,418.69539,123.33357,413.22090,400.69872,252.96909,337.85038,249.97897,335.54103,101.09169,460.74253,290.71745,171.97050,78.79798,59.12373,159.13149,66.59793,89.73526,101.34427,73.56679,115.92442,86.60387,32.93390,87.59920,51.51069,
113,1.88710,72.49498,82.23946,503.07980,861.76952,806.46056,1054.62645,1378.83128,42.28670,86.20874,464.06582,864.36766,818.90235,1043.02148,1378.25722,918.87915,917.26716,1566.05790,120.03888,424.01248,417.65804,123.26960,412.72287,400.37920,253.26415,338.02800,249.38300,335.82989,100.96736,460.86566,290.78437,175.34434,82.97638,59.17578,158.25241,65.67222,88.86213,101.52594,73.54840,116.02130,86.58006,33.00506,87.61757,51.36582,
114,1.90380,77.88441,79.65297,501.78823,859.09086,804.34548,1052.39190,1376.77177,42.39919,87.96599,462.76352,862.67022,817.44342,1041.36520,1376.59262,917.23928,915.17764,1563.72641,120.90766,422.85883,416.68528,123.28057,412.26785,400.12810,253.33542,338.19677,249.14197,335.80293,101.82935,460.87367,291.22980,179.16199,86.63647,59.02804,157.15096,64.61495,88.08243,101.73844,73.55629,116.01120,86.63385,32.90700,87.60153,51.19969,
115,1.92050,83.73162,76.84970,499.96344,856.91614,801.91154,1049.94215,1374.26557,42.38893,90.27545,461.88051,861.22690,815.51946,1040.12264,1375.15897,915.45746,912.80000,1561.78436,120.81203,423.11382,415.47247,123.30518,412.75579,399.75722,253.48945,338.08596,249.58458,335.55510,101.88494,461.00589,291.26820,183.26513,89.95125,59.21348,156.02049,63.48669,87.39085,101.92228,73.58616,115.86233,86.80235,32.70569,87.53590,51.13737,
116,1.93720,89.19673,77.79271,497.88586,854.79453,799.46339,1047.31925,1371.77124,42.33810,92.50750,460.83315,859.86682,813.22873,1038.69090,1373.59341,913.61552,910.63379,1559.88982,120.93736,420.53561,414.32875,123.15892,413.38441,399.64555,253.50337,338.16699,250.00446,335.34169,102.03992,461.00981,291.34916,185.41015,87.36014,59.46803,154.78713,62.29706,86.81780,102.12679,73.61668,115.60834,87.05603,32.47447,87.45086,51.10760,
117,1.95390,93.70484,77.31332,495.07183,852.81919,797.27609,1044.42339,1369.74437,42.31846,94.80800,459.47204,858.28390,810.66919,1037.10928,1371.79485,912.01334,908.82436,1557.95344,120.45799,419.19111,413.60452,123.25817,413.32210,399.62367,253.06048,338.97610,250.24323,335.04521,102.30313,460.84046,291.73312,187.81987,85.25071,59.86927,153.11666,60.96721,86.33611,102.42045,73.67235,115.20128,87.33370,32.42933,87.34709,51.05850,
